"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",48021.877366,
"AUT","GDP","TOT","USD_CAP","A","2016",50503.328406,
"BEL","GDP","TOT","USD_CAP","A","2016",46566.544596,
"CAN","GDP","TOT","USD_CAP","A","2016",44819.498023,
"CZE","GDP","TOT","USD_CAP","A","2016",34714.434668,
"DNK","GDP","TOT","USD_CAP","A","2016",49020.543891,
"FIN","GDP","TOT","USD_CAP","A","2016",43446.124099,
"FRA","GDP","TOT","USD_CAP","A","2016",41357.835264,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",48942.907149,
"GRC","GDP","TOT","USD_CAP","A","2016",26764.908341,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",26700.756023,
"ISL","GDP","TOT","USD_CAP","A","2016",50751.583533,
"IRL","GDP","TOT","USD_CAP","A","2016",70879.955583,
"ITA","GDP","TOT","USD_CAP","A","2016",38380.162379,
"JPN","GDP","TOT","USD_CAP","A","2016",42292.681306,
"KOR","GDP","TOT","USD_CAP","A","2016",36629.655177,
"LUX","GDP","TOT","USD_CAP","A","2016",102019.458319,
"MEX","GDP","TOT","USD_CAP","A","2016",18535.16689,"E"
"NLD","GDP","TOT","USD_CAP","A","2016",50961.235694,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39241.025516,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58791.758233,
"POL","GDP","TOT","USD_CAP","A","2016",27055.19212,
"PRT","GDP","TOT","USD_CAP","A","2016",30658.466294,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",30460.32019,
"ESP","GDP","TOT","USD_CAP","A","2016",36331.52557,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",48853.279783,
"CHE","GDP","TOT","USD_CAP","A","2016",63888.708682,"P"
"TUR","GDP","TOT","USD_CAP","A","2016",25655.471775,"E"
"GBR","GDP","TOT","USD_CAP","A","2016",42757.048917,
"USA","GDP","TOT","USD_CAP","A","2016",57591.197652,
"CHL","GDP","TOT","USD_CAP","A","2016",23003.91117,
"CHN","GDP","TOT","USD_CAP","A","2016",15477.980833,
"COL","GDP","TOT","USD_CAP","A","2016",14011.612739,
"EST","GDP","TOT","USD_CAP","A","2016",29740.839398,
"IDN","GDP","TOT","USD_CAP","A","2016",11720.226825,
"ISR","GDP","TOT","USD_CAP","A","2016",37269.565838,
"RUS","GDP","TOT","USD_CAP","A","2016",24788.679645,
"SVN","GDP","TOT","USD_CAP","A","2016",32729.606427,
"ZAF","GDP","TOT","USD_CAP","A","2016",13334.987018,
"EU28","GDP","TOT","USD_CAP","A","2016",39652.936403,
"OECD","GDP","TOT","USD_CAP","A","2016",42151.375096,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",39216.988089,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",25588.909354,
"BRA","GDP","TOT","USD_CAP","A","2016",15224.54744,"E"
"LTU","GDP","TOT","USD_CAP","A","2016",29862.344559,
"SAU","GDP","TOT","USD_CAP","A","2016",54304.320339,
"EA19","GDP","TOT","USD_CAP","A","2016",42151.339298,
"ARG","GDP","TOT","USD_CAP","A","2016",20382.379902,
"CRI","GDP","TOT","USD_CAP","A","2016",16381.3827,
"BGR","GDP","TOT","USD_CAP","A","2016",19242.642129,
"HRV","GDP","TOT","USD_CAP","A","2016",23859.838656,
"CYP","GDP","TOT","USD_CAP","A","2016",32882.262558,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",37337.621659,
"ROU","GDP","TOT","USD_CAP","A","2016",23197.339903,"P"
